학교명,학교급_구분,시도교육청,교육지원청,지역,위도,경도,주소내역,폐교여부,폐교연도,시도,행정구,학교급,전체학생수,편성학급수,교원1인당학생수,공간유휴화지수,학교코드_KEDI,전체교원수,총교실수,동일생활권_대체학교수
송라중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.6544655707,127.3029495424,주소미상,0,,경기,남양주시,중학교,211,13,9.7,18.91,K090005033,22,21,3
장내중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.6427777634,127.2333053656,경기도 남양주시 평내동,0,,경기,남양주시,중학교,155,11,17.0,14.2,K090005034,9,18,5
평내중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.6479793469,127.2381578501,경기 남양주시 평내동,0,,경기,남양주시,중학교,312,26,9.3,6.59,K090005162,34,32,4
가운고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.5993164171,127.1607415402,경기도 남양주시 가운동,0,,경기,남양주시,고등학교,145,10,16.9,19.84,K090005898,9,14,7
판곡고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6629111383,127.2430925974,경기도 남양주시 호평동,0,,경기,남양주시,고등학교,325,19,16.8,17.14,K090005910,19,26,2
별내고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6516143764,127.1169090688,경기도 남양주시 별내동,0,,경기,남양주시,고등학교,216,13,17.1,9.73,K090006520,13,18,3
별가람고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6612946764,127.1220945353,주소미상,0,,경기,남양주시,고등학교,231,14,12.0,13.42,K090006905,19,21,3
남양주다산고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6255028862,127.1586308787,주소미상,0,,경기,남양주시,고등학교,228,16,16.4,11.74,K090007317,14,23,3
광성초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1843396068,127.0400376895,경기도 오산시 세교동,0,,경기,오산시,초등학교,52,3,17.4,18.22,K090004286,3,6,15
매홀초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1626931778,127.0635475552,경기도 오산시 수청동,0,,경기,오산시,초등학교,119,6,9.9,16.71,K090004301,12,12,15
삼미초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1913556573,127.0602693236,경기도 오산시 외삼미동,0,,경기,오산시,초등학교,115,7,11.0,26.31,K090004302,10,11,21
성산초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1502893976,127.0664864231,경기도 오산시 오산동,0,,경기,오산시,초등학교,139,7,14.6,25.85,K090004317,10,11,18
성호초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1501930708,127.0709980076,경기도 오산시 오산동,0,,경기,오산시,초등학교,127,7,9.6,35.21,K090004318,13,13,18
오산초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1438353198,127.0536143634,주소미상,0,,경기,오산시,초등학교,184,10,15.0,13.01,K090004325,12,14,13
운산초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1527947765,127.0776285876,경기도 오산시 오산동,0,,경기,오산시,초등학교,194,13,6.9,19.41,K090004328,28,21,16
운암초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1439617,127.0762238486,주소미상,0,,경기,오산시,초등학교,36,3,12.3,74.32,K090004329,3,9,15
다산한강중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.5992385497,127.175555368,주소미상,0,,경기,남양주시,중학교,267,13,7.5,10.44,K090007319,36,19,9
다산새봄중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.6188882186,127.1590211956,주소미상,0,,경기,남양주시,중학교,61,3,9.5,30.0,K090007518,6,8,7
하랑중학교,중학교,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,37.649958565,127.2550800356,주소미상,0,,경기,남양주시,중학교,239,18,9.1,13.81,K090007654,26,26,5
오산대원초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.130373172,127.0712720845,경기도 오산시 갈곶동,0,,경기,오산시,초등학교,170,11,16.1,3.17,K090004855,11,17,10
대호초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1589117224,127.0577082676,경기도 오산시 궐동,0,,경기,오산시,초등학교,5,1,8.3,80.0,K090005019,2,7,16
가수초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1481790987,127.0478395393,경기도 오산시 가수동,0,,경기,오산시,초등학교,127,7,15.7,30.56,K090005366,8,13,10
수청초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1706373452,127.0554742525,경기도 오산시 수청동,0,,경기,오산시,초등학교,83,4,15.5,42.3,K090005372,5,8,14
오산원당초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1421843552,127.0909250869,경기 오산시 원동,0,,경기,오산시,초등학교,59,4,12.0,44.02,K090005406,5,10,13
오산원일초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1396037127,127.07116369,경기 오산시 원동,0,,경기,오산시,초등학교,228,14,8.8,12.05,K090005476,26,19,16
오산고현초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1336111297,127.0855859638,주소미상,0,,경기,오산시,초등학교,68,5,8.7,18.1,K090005594,8,9,11
문시초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1741916131,127.045869632,주소미상,0,,경기,오산시,초등학교,55,3,11.6,32.2,K090005747,5,6,12
양산초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.197237867,127.0322140164,경기도 오산시 양산동,0,,경기,오산시,초등학교,126,10,6.1,32.93,K090005763,21,17,15
세미초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1741747766,127.0645931095,경기도 오산시 내삼미동,0,,경기,오산시,초등학교,175,8,12.4,15.99,K090005816,14,14,17
필봉초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1787301791,127.0525027896,경기도 오산시 내삼미동,0,,경기,오산시,초등학교,109,6,17.4,16.45,K090005818,6,11,14
금암초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.17858947,127.0440074904,주소미상,0,,경기,오산시,초등학교,213,10,7.9,9.86,K090006418,27,16,15
다온초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1519671608,127.0909244163,주소미상,0,,경기,오산시,초등학교,162,13,12.9,18.53,K090007217,13,19,14
오남고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6980540824,127.2065144372,경기도 남양주시 오남읍 양지리,0,,경기,남양주시,고등학교,5,1,17.5,79.65,K090005670,2,5,2
마석고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.6437208266,127.2992846169,주소미상,0,,경기,남양주시,고등학교,186,13,16.3,4.64,K090005800,11,18,1
진접고등학교,고등학교,경기도교육청,경기도교육청,경기도 남양주시,37.7157944683,127.1903178683,경기도 남양주시 진접읍,0,,경기,남양주시,고등학교,183,12,16.2,17.54,K090005803,11,20,2
가산중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4689137496,126.8943864118,서울특별시 금천구 독산1동,0,,서울,금천구,중학교,228,11,15.9,3.78,K010001165,14,14,15
난곡중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4779230501,126.9109161323,서울 금천구 독산3동,0,,서울,금천구,중학교,5,1,9.7,73.65,K010001171,2,6,18
동일중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4522595013,126.9170404899,서울특별시 금천구 시흥동,0,,서울,금천구,중학교,435,31,16.7,6.27,K010001176,26,36,8
문성중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4751672412,126.9078850835,서울특별시 금천구 독산3동,0,,서울,금천구,중학교,233,18,17.3,19.23,K010001178,13,24,17
문일중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4501047164,126.8990735757,서울특별시 금천구 시흥1동,0,,서울,금천구,중학교,195,15,11.9,14.21,K010001179,16,21,13
세일중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4745372182,126.8956989373,서울특별시 금천구 독산동,0,,서울,금천구,중학교,298,15,10.3,8.58,K010001180,29,21,15
시흥중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4459941502,126.9054392014,서울특별시 금천구 시흥3동,0,,서울,금천구,중학교,414,25,11.0,6.34,K010001181,38,31,8
안천중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4595512259,126.8874279749,서울특별시 금천구 독산동,0,,서울,금천구,중학교,267,14,10.0,5.47,K010001183,27,17,12
한울중학교,중학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4624803943,126.9070958541,서울특별시 금천구 독산3동 894~908,0,,서울,금천구,중학교,275,15,8.5,13.94,K010001196,32,21,14
국립전통예술고등학교,고등학교,교육부,교육부,서울특별시 금천구,37.4463697917,126.9064693689,서울특별시 금천구 시흥3동,0,,서울,금천구,고등학교,266,20,13.4,18.02,K000005401,20,27,9
금천고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 금천구,37.4448822419,126.9053682766,주소미상,0,,서울,금천구,고등학교,233,17,12.8,15.34,K010000402,18,23,8
독산고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 금천구,37.4762435224,126.9108548157,서울특별시 금천구 독산동,0,,서울,금천구,고등학교,193,10,11.6,16.86,K010000419,17,15,9
동일여자고등학교,고등학교,서울특별시교육청,서울특별시교육청,서울특별시 금천구,37.4510191629,126.9162688316,서울특별시 금천구 시흥동,0,,서울,금천구,고등학교,151,8,7.2,15.85,K010000425,21,15,8
동광초등학교,초등학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4520393744,126.916642912,서울특별시 금천구 시흥동,0,,서울,금천구,초등학교,65,4,15.6,44.37,K010001197,4,8,18
원동초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1355281407,127.0697688184,경기도 오산시 원동,0,,경기,오산시,초등학교,12,1,8.1,70.31,K090004331,2,5,14
화성초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1645247962,127.0688024372,경기도 오산시 수청동,0,,경기,오산시,초등학교,114,9,7.4,21.31,K090004354,15,14,16
세마초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1695298659,127.027340387,주소미상,0,,경기,오산시,초등학교,5,1,13.5,71.66,K090007310,2,6,5
성호중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1397774877,127.081180905,경기도 오산시 원동,0,,경기,오산시,중학교,199,16,10.8,7.12,K090004269,18,22,4
매홀중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1682010815,127.0688485553,주소미상,0,,경기,오산시,중학교,176,12,6.7,19.92,K090004273,26,19,6
오산중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1541807695,127.0620589765,경기도 오산시 청학동,0,,경기,오산시,중학교,195,12,10.3,8.16,K090004274,19,18,7
운암중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1459614667,127.0771308403,경기도 오산시 원동,0,,경기,오산시,중학교,128,10,15.3,23.78,K090004275,8,15,6
운천중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1583702475,127.0780530808,경기도 오산시 오산동,0,,경기,오산시,중학교,488,37,13.4,5.55,K090004276,36,45,6
대호중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.162300071,127.0569407651,주소미상,0,,경기,오산시,중학교,316,15,10.4,13.51,K090005021,30,21,6
오산원일중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1396460679,127.0726403982,경기도 오산시 원동,0,,경기,오산시,중학교,56,3,8.3,18.28,K090005462,7,6,4
세마중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.180936464,127.0422295791,경기도 오산시 세교동,0,,경기,오산시,중학교,203,10,13.6,19.12,K090005760,15,17,2
문시중학교,중학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1745153453,127.0475138267,경기도 오산시 금암동,0,,경기,오산시,중학교,119,8,16.7,23.83,K090005832,7,14,4
성호고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1393191228,127.082089823,주소미상,0,,경기,오산시,고등학교,128,7,13.8,23.86,K090000626,9,11,4
오산고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1533309436,127.0605633358,경기도 오산시 청학동,0,,경기,오산시,고등학교,89,6,15.8,16.38,K090000736,6,13,6
오산정보고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1524810943,127.0590767342,경기도 오산시 청학동,0,,경기,오산시,고등학교,302,17,12.3,5.67,K090000737,25,22,6
운천초등학교,초등학교,경기도교육청,경기도화성오산교육지원청,경기도 오산시,37.1564952107,127.0793120036,경기도 오산시 부산동,0,,경기,오산시,초등학교,65,5,14.6,27.57,K090004330,4,10,15
서울금동초등학교,초등학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4477575698,126.9163764368,서울 금천구 시흥2동,0,,서울,금천구,초등학교,197,16,16.8,8.02,K010005177,12,21,17
서울금나래초등학교,초등학교,서울특별시교육청,서울특별시남부교육지원청,서울특별시 금천구,37.4581934101,126.8963003365,주소미상,0,,서울,금천구,초등학교,200,9,15.3,6.19,K010006386,13,12,29
장곡초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3815235695,126.7820358458,경기도 시흥시 장곡동 101~854,0,,경기,시흥시,초등학교,230,13,16.9,1.77,K090002781,14,19,4
정왕초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3410220277,126.7431969434,경기도 시흥시 정왕동,0,,경기,시흥시,초등학교,52,2,11.2,24.02,K090002782,5,7,10
운천고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1561592616,127.0804329039,주소미상,0,,경기,오산시,고등학교,307,20,16.9,15.79,K090004835,18,27,5
운암고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1439371888,127.0750982509,경기 오산시 원동,0,,경기,오산시,고등학교,326,21,13.5,9.34,K090005461,24,27,5
세마고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1806125754,127.0408285089,경기도 오산시 금암동,0,,경기,오산시,고등학교,193,12,16.4,6.52,K090005806,12,18,2
세교고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1779295666,127.0535652526,경기도 오산시 금암동,0,,경기,오산시,고등학교,157,8,6.5,6.79,K090005902,24,13,5
매홀고등학교,고등학교,경기도교육청,경기도교육청,경기도 오산시,37.1690696209,127.0689844567,경기도 오산시 수청동,0,,경기,오산시,고등학교,443,25,13.9,11.53,K090006701,32,30,8
검바위초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.4327467601,126.7984435588,경기도 시흥시 은행동,0,,경기,시흥시,초등학교,138,6,16.2,24.07,K090002716,9,12,11
계수초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.4534719462,126.8208686403,경기도 시흥시 계수동,0,,경기,시흥시,초등학교,171,14,8.1,12.99,K090002719,21,20,13
군서초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3474200199,126.7519692126,주소미상,0,,경기,시흥시,초등학교,54,3,13.9,44.68,K090002722,4,10,9
군자초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3438993746,126.787439791,경기도 시흥시 거모동,0,,경기,시흥시,초등학교,22,1,15.9,41.65,K090002723,2,6,11
금모래초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.4415890003,126.7951168112,경기도 시흥시 은행동,0,,경기,시흥시,초등학교,74,5,9.5,20.06,K090002724,8,9,10
냉정초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3577418644,126.7351980671,경기도 시흥시 정왕동,0,,경기,시흥시,초등학교,110,6,10.9,20.37,K090002725,10,10,13
대야초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.4468253668,126.7898023944,경기도 시흥시 대야동,0,,경기,시흥시,초등학교,35,2,12.8,57.88,K090002731,3,7,11
도일초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3491191636,126.7820663548,경기도 시흥시 거모동,0,,경기,시흥시,초등학교,119,9,12.2,16.24,K090002733,10,15,9
도창초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.4068936118,126.8236451997,주소미상,0,,경기,시흥시,초등학교,5,1,6.5,59.1,K090002734,2,4,3
운흥초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3727650374,126.8528777041,경기도 시흥시 조남동,0,,경기,시흥시,초등학교,30,2,7.2,77.16,K090006132,4,8,4
조남초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.378656039,126.8588784991,경기도 시흥시 조남동,0,,경기,시흥시,초등학교,174,11,7.2,1.22,K090006133,24,16,5
목감초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3868626448,126.8589500671,경기도 시흥시 논곡동,0,,경기,시흥시,초등학교,168,11,9.1,7.93,K090002736,18,15,4
서촌초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3494600437,126.7274441174,주소미상,0,,경기,시흥시,초등학교,89,7,9.0,37.83,K090002743,10,14,11
서해초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3561510211,126.7250902247,경기도 시흥시 정왕동,0,,경기,시흥시,초등학교,39,3,14.9,46.18,K090002744,3,7,9
소래초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.443772462,126.7836589573,경기도 시흥시 신천동,0,,경기,시흥시,초등학교,38,2,12.9,43.1,K090002751,3,5,10
송운초등학교,초등학교,경기도교육청,경기도시흥교육지원청,경기도 시흥시,37.3602206944,126.7300646416,경기도 시흥시 정왕동,0,,경기,시흥시,초등학교,90,4,15.2,33.92,K090002752,6,7,11
